,COD INEP,Escola,mat_2020,mat_2019,mat_2018,mat_2017,Latitude,Longitude,Natureza - 2017,Humanidades - 2017,Linguagens - 2017,Matemática - 2017,Redação - 2017,Natureza - 2018,Humanidades - 2018,Linguagens - 2018,Matemática - 2018,Redação - 2018,Natureza - 2019,Humanidades - 2019,Linguagens - 2019,Matemática - 2019,Redação - 2019
0,25072030,ECI NENZINHA CUNHA LIMA,183.0,360.0,392.0,457.0,-7.230401,-35.86651,471,496,475,465,476,452,512,460,481,415,479,503,510,498,590
1,25072005,EEEFM ADEMAR VELOSO SILVEIRA,984.0,996.0,1129.0,991.0,-7.217903,-35.91537,501,488,483,475,464,476,543,502,521,503,454,479,501,473,572
2,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,1163.0,1176.0,1300.0,1272.0,-7.238583919,-35.87544805,497,509,495,499,533,483,564,511,509,508,457,487,502,484,566
3,25072307,ECI SOLON DE LUCENA,335.0,411.0,598.0,834.0,-7.215672992,-35.88184403,478,492,484,494,542,484,569,520,514,507,475,499,513,497,609
4,25072404,EEEFM RUBENS DUTRA II,208.0,217.0,233.0,378.0,-7.271548333,-36.09744,500,486,478,513,438,445,508,447,486,432,402,459,544,472,0
5,25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,1578.0,1668.0,1904.0,2005.0,-7.27079349,-35.92153755,476,469,484,462,476,454,521,472,485,407,434,451,465,460,450
6,25072277,ECI MONTE CARMELO,546.0,547.0,607.0,1247.0,-7.22164071,-35.90327493,481,463,484,454,482,431,503,472,446,405,416,444,465,452,453
7,25076590,EEEFM JOSE MIGUEL LEAO,856.0,934.0,956.0,1015.0,-7.18544759,-35.98547937,484,489,483,475,511,448,527,479,477,445,426,461,478,458,492
8,25072129,EEEFM SAO SEBASTIAO,685.0,774.0,849.0,879.0,-7.211707022,-35.88010874,479,487,477,494,531,458,527,474,477,463,441,477,485,463,570
9,25072099,ECI ASSIS CHATEAUBRIAND,739.0,852.0,952.0,1406.0,-7.21639734,-35.86787026,479,477,475,466,522,462,517,495,496,457,424,455,481,448,502
10,25072137,ECIT PROF ANESIO LEAO,423.0,452.0,473.0,1041.0,-7.19902859,-35.89540554,493,493,487,480,526,495,571,519,466,450,424,459,477,487,606
11,25152815,EEEFM ISABEL RODRIGUES DE MELO,367.0,362.0,350.0,354.0,-7.30547366,-35.78011773,498,501,501,496,489,447,525,466,481,401,462,489,503,480,594
12,25117459,ECI PREFEITO WILLIAMS DE SOUSA ARRUDA,156.0,258.0,316.0,347.0,-7.1853753,-35.9052196,468,488,488,486,514,458,498,487,468,436,451,473,479,438,400
