,Unnamed: 0,COD INEP,delta_Natureza - 2018,delta_Natureza - 2019,delta_Humanidades - 2018,delta_Humanidades - 2019,delta_Linguagens - 2018,delta_Linguagens - 2019,delta_Matemática - 2018,delta_Matemática - 2019,delta_Redação - 2018,delta_Redação - 2019
0,0,25072030,-4.033970276008493,5.9734513274336285,3.225806451612903,-1.7578125,-3.1578947368421053,10.869565217391305,3.4408602150537635,3.5343035343035343,-12.815126050420167,42.168674698795186
1,1,25072005,-4.990019960079841,-4.621848739495799,11.270491803278688,-11.786372007366483,3.9337474120082816,-0.199203187250996,9.68421052631579,-9.213051823416507,8.405172413793103,13.717693836978132
2,2,25072021,-2.8169014084507045,-5.383022774327122,10.805500982318271,-13.652482269503546,3.2323232323232323,-1.761252446183953,2.004008016032064,-4.911591355599214,-4.690431519699812,11.41732283464567
3,3,25072307,1.2552301255230125,-1.859504132231405,15.650406504065039,-12.302284710017574,7.43801652892562,-1.3461538461538463,4.048582995951417,-3.3073929961089497,-6.4575645756457565,20.118343195266274
4,4,25072404,-11.0,-9.662921348314606,4.526748971193416,-9.645669291338582,-6.485355648535565,21.700223713646533,-5.263157894736842,-2.880658436213992,-1.36986301369863,-100.0
5,5,25120670,-4.621848739495799,-4.405286343612335,11.087420042643924,-13.43570057581574,-2.479338842975207,-1.4830508474576272,4.978354978354979,-5.154639175257731,-14.495798319327733,10.565110565110565
6,6,25072277,-10.395010395010395,-3.480278422273782,8.639308855291576,-11.72962226640159,-2.479338842975207,-1.4830508474576272,-1.762114537444934,1.345291479820628,-15.975103734439832,11.851851851851853
7,7,25076590,-7.43801652892562,-4.910714285714286,7.770961145194274,-12.523719165085389,-0.8281573498964804,-0.20876826722338201,0.42105263157894735,-3.9832285115303985,-12.915851272015654,10.561797752808989
8,8,25072129,-4.3841336116910234,-3.711790393013101,8.213552361396303,-9.487666034155598,-0.628930817610063,2.320675105485232,-3.4412955465587043,-2.9350104821802936,-12.8060263653484,23.110151187904968
9,9,25072099,-3.549060542797495,-8.225108225108226,8.385744234800839,-11.992263056092844,4.2105263157894735,-2.8282828282828283,6.437768240343347,-9.67741935483871,-12.452107279693486,9.846827133479213
10,10,25072137,0.4056795131845842,-14.343434343434344,15.821501014198782,-19.614711033274958,6.570841889117044,-8.092485549132949,-2.9166666666666665,4.506437768240343,-14.44866920152091,34.66666666666667
